,Industrials_Fund_Value
2021-08-05,60425.4817199707
2021-08-06,61214.80195617676
2021-08-07,61370.129455566406
2021-08-08,61370.129455566406
2021-08-09,61370.129455566406
2021-08-10,62374.33143615723
2021-08-11,64752.74940490723
2021-08-12,65186.82992553711
2021-08-13,64101.16816711426
2021-08-14,64026.26916503906
2021-08-15,64026.26916503906
2021-08-16,64026.26916503906
2021-08-17,63004.70120239258
2021-08-18,62239.22038269043
2021-08-19,61007.92997741699
2021-08-20,61032.31086730957
2021-08-21,61990.24995422363
2021-08-22,61990.24995422363
2021-08-23,61990.24995422363
2021-08-24,62780.020248413086
2021-08-25,63624.989486694336
2021-08-26,63237.9814453125
2021-08-27,64421.3897857666
2021-08-28,64457.50036621094
2021-08-29,64457.50036621094
2021-08-30,64457.50036621094
2021-08-31,64291.34925842285
2021-09-01,63840.9577331543
2021-09-02,64708.24966430664
2021-09-03,64361.68965148926
2021-09-04,63338.14985656738
2021-09-05,63338.14985656738
2021-09-06,63338.14985656738
2021-09-07,63338.14985656738
2021-09-08,62359.91825866699
2021-09-09,62500.85820007324
2021-09-10,62276.73155212402
2021-09-11,62505.34004211426
2021-09-12,62505.34004211426
2021-09-13,62505.34004211426
2021-09-14,60812.3483581543
2021-09-15,62297.95083618164
2021-09-16,62894.50161743164
2021-09-17,62182.66928100586
2021-09-18,60295.33923339844
2021-09-19,60295.33923339844
2021-09-20,60295.33923339844
2021-09-21,60368.871154785156
2021-09-22,62592.64906311035
2021-09-23,63712.13833618164
2021-09-24,63904.421157836914
2021-09-25,65208.17939758301
2021-09-26,65208.17939758301
2021-09-27,65208.17939758301
2021-09-28,64650.20831298828
